Date,Open,High,Low,Close,Adj Close,Volume
03-09-21,17262.44922,17340.09961,17212.19922,17323.59961,17323.59961,261400
06-09-21,17399.34961,17429.55078,17345.55078,17377.80078,17377.80078,228000
07-09-21,17401.55078,17436.5,17287,17362.09961,17362.09961,243400
08-09-21,17375.75,17383.40039,17254.19922,17353.5,17353.5,252700
09-09-21,17312.84961,17379.65039,17302.69922,17369.25,17369.25,241500
13-09-21,17363.55078,17378.34961,17269.15039,17355.30078,17355.30078,241100
14-09-21,17420.34961,17438.55078,17367.05078,17380,17380,230400
15-09-21,17387.65039,17532.69922,17386.90039,17519.44922,17519.44922,388200
16-09-21,17539.19922,17644.59961,17510.44922,17629.5,17629.5,503300
17-09-21,17709.65039,17792.94922,17537.65039,17585.15039,17585.15039,508300
20-09-21,17443.84961,17622.75,17361.80078,17396.90039,17396.90039,339100
21-09-21,17450.5,17578.34961,17326.09961,17562,17562,363600
22-09-21,17580.90039,17610.44922,17524,17546.65039,17546.65039,295200
23-09-21,17670.84961,17843.90039,17646.55078,17822.94922,17822.94922,320500
24-09-21,17897.44922,17947.65039,17819.40039,17853.19922,17853.19922,360100
27-09-21,17932.19922,17943.5,17802.90039,17855.09961,17855.09961,295700
28-09-21,17906.44922,17912.84961,17576.09961,17748.59961,17748.59961,398000
29-09-21,17657.94922,17781.75,17608.15039,17711.30078,17711.30078,562200
30-09-21,17718.90039,17742.15039,17585.34961,17618.15039,17618.15039,378600
01-10-21,17531.90039,17557.15039,17452.90039,17532.05078,17532.05078,305800
04-10-21,17615.55078,17750.90039,17581.34961,17691.25,17691.25,295800
05-10-21,17661.34961,17833.44922,17640.90039,17822.30078,17822.30078,427000
06-10-21,17861.5,17884.59961,17613.15039,17646,17646,395800
07-10-21,17810.55078,17857.55078,17763.80078,17790.34961,17790.34961,419900
08-10-21,17886.84961,17941.84961,17840.34961,17895.19922,17895.19922,324100
11-10-21,17867.55078,18041.94922,17839.09961,17945.94922,17945.94922,375800
12-10-21,17915.80078,18008.65039,17864.94922,17991.94922,17991.94922,355600
